extension ,size ,time_sender ,loss ,delay ,jitter ,error ,cut ,pkt_corrupted,
txt , 8890 , 0.13 , 0 , 10 , 0 , 0 , 0 , 0 ,
txt , 8890 , 0.24 , 0 , 20 , 0 , 0 , 0 , 0 ,
txt , 8890 , 0.33 , 0 , 30 , 0 , 0 , 0 , 0 ,
txt , 8890 , 0.42 , 0 , 40 , 0 , 0 , 0 , 0 ,
txt , 8890 , 0.53 , 0 , 50 , 0 , 0 , 0 , 0 ,
txt , 8890 , 0.62 , 0 , 60 , 0 , 0 , 0 , 0 ,
txt , 8890 , 5.59 , 0 , 70 , 0 , 0 , 0 , 0 ,
txt , 8890 , 0.82 , 0 , 80 , 0 , 0 , 0 , 0 ,
txt , 8890 , 5.74 , 0 , 90 , 0 , 0 , 0 , 0 ,
txt , 8890 , 3.07 , 0 , 0 , 10 , 0 , 0 , 0 ,
txt , 8890 , 3.06 , 0 , 0 , 10 , 0 , 0 , 0 ,
txt , 8890 , 5.10 , 0 , 0 , 20 , 0 , 0 , 0 ,
txt , 8890 , 2.18 , 0 , 0 , 30 , 0 , 0 , 0 ,
txt , 8890 , 2.17 , 0 , 0 , 40 , 0 , 0 , 0 ,
txt , 8890 , 3.24 , 0 , 0 , 50 , 0 , 0 , 0 ,
txt , 8890 , 2.22 , 0 , 0 , 60 , 0 , 0 , 0 ,
txt , 8890 , 2.20 , 0 , 0 , 70 , 0 , 0 , 0 ,
txt , 8890 , 3.26 , 0 , 0 , 80 , 0 , 0 , 0 ,
txt , 8890 , 3.35 , 0 , 0 , 90 , 0 , 0 , 0 ,
txt , 8890 , 2.00 , 0 , 0 , 0 , 10 , 0 , 0 ,
txt , 8890 , 2.00 , 0 , 0 , 0 , 20 , 0 , 0 ,
txt , 8890 , 5.01 , 0 , 0 , 0 , 30 , 0 , 0 ,
txt , 8890 , 9.01 , 0 , 0 , 0 , 40 , 0 , 0 ,
txt , 8890 , 12.01 , 0 , 0 , 0 , 50 , 0 , 0 ,
txt , 8890 , 6.00 , 0 , 0 , 0 , 60 , 0 , 0 ,
txt , 8890 , 14.01 , 0 , 0 , 0 , 70 , 0 , 0 ,
txt , 8890 , 15.01 , 0 , 0 , 0 , 80 , 0 , 1 ,
txt , 8890 , 22.02 , 0 , 0 , 0 , 90 , 0 , 1 ,
txt , 8890 , 5.02 , 0 , 0 , 0 , 0 , 10 , 0 ,
txt , 8890 , 5.01 , 0 , 0 , 0 , 0 , 30 , 0 ,
txt , 8890 , 0.01 , 0 , 0 , 0 , 0 , 40 , 0 ,
txt , 8890 , 5.03 , 0 , 0 , 0 , 0 , 50 , 0 ,
txt , 8890 , 1.02 , 0 , 0 , 0 , 0 , 60 , 0 ,
txt , 8890 , 5.02 , 0 , 0 , 0 , 0 , 70 , 0 ,
txt , 8890 , 6.05 , 0 , 0 , 0 , 0 , 80 , 0 ,
txt , 8890 , 1.00 , 10 , 0 , 0 , 0 , 0 , 0 ,
txt , 8890 , 2.00 , 20 , 0 , 0 , 0 , 0 , 0 ,
txt , 8890 , 5.00 , 30 , 0 , 0 , 0 , 0 , 0 ,
txt , 8890 , 9.01 , 40 , 0 , 0 , 0 , 0 , 0 ,
txt , 8890 , 9.01 , 50 , 0 , 0 , 0 , 0 , 1 ,
txt , 8890 , 12.02 , 60 , 0 , 0 , 0 , 0 , 0 ,
txt , 8890 , 15.01 , 70 , 0 , 0 , 0 , 0 , 1 ,
txt , 8890 , 32.03 , 80 , 0 , 0 , 0 , 0 , 1 ,
txt , 8890 , 22.02 , 90 , 0 , 0 , 0 , 0 , 1 ,

